배우명,작품,년도
장동건,패자부활전,1997
장동건,홀리데이인서울,1997
장동건,연풍연가,1998
장동건,인정사정볼것없다,1999
장동건,아나키스트,2000
장동건,태풍,2005
장동건,무극,2005
장동건,굿모닝프레지던트,2009
장동건,워리어스웨이,2010
장동건,마이웨이,2011
장동건,위험한관계,2012
장동건,2009로스트메모리즈,2002
장동건,친구,2001
장동건,해안선,2002
장동건,태극기를휘날리며,2004
장동건,브이아이피,2017
장동건,우는남자,2014
장동건,7년의밤,2018
장동건,창궐,2018
전도연,접속,1997
전도연,약속,1998
전도연,해피엔드,1999
전도연,나도 아내가 있었으면 좋겠다,2000
전도연,피도 눈물도 없이,2001
전도연,스캔들-조선남녀상열지사,2003
전도연,인어공주,2004
전도연,너는 내 운명,2005
전도연,밀양,2007
전도연,멋진 하루,2008
전도연,하녀,2010
전도연,카운트다운,2011
전도연,집으로 가는 길,2013
전도연,무뢰한,2014
전도연,"협녀, 칼의 기억",2015
전도연,남과 여,2015
전도연,생일,2018
전도연,해피엔드,1999
