영화명,영화코드,개봉일,F-rated,장르,등급,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,감독1필모,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배우코드,배우성별,배우_대표역할,배우필모
워킹걸,20147947,2015-01-07,1,"코미디,멜로/로맨스",청소년관람불가,일반영화,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,7077,308,1183887479.0,149181,389163479,49874,공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',정범식,10061758.0,남자,-,-,-,-,-,-,-,-,-,정범식,정범식,정범식,10061758,남자,감독,공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,이민아,황준호,이승원,이시현,조재윤,김영옥,김보연,오나라,박상민,김승주",조여정,10066680,여자,배우,기생충|워킹걸|인간중독|표적|후궁 : 제왕의 첩|방자전|흡혈형사 나도열
설해,20124398,2015-01-08,0,"멜로/로맨스,드라마",12세이상관람가,독립/예술영화,(주)맑음영화사,"(주)마인스 엔터테인먼트,주식회사 마운틴픽쳐스",335,34,20767500.0,2796,10191000,1317,설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,김정권,10005546.0,남자,-,-,-,-,-,-,-,-,-,"김정권, 김군영",김정권,김정권,10005546,남자,감독,설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,"박해진,이영아,송재희,전무송,최원주,이상민,이기열,윤기호,김수환,김정권,김혜진,박재한,성낙규,김정균,이용녀,오은호,편보승,정재훈",박해진,20126329,남자,배우,치즈인더트랩|설해|젓가락
허삼관,20131262,2015-01-14,0,드라마,12세이상관람가,일반영화,"(주)두타연,(주)판타지오픽쳐스",(주)넥스트엔터테인먼트월드(NEW),27661,621,7405415569.0,955175,1879461269,232983,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을",하정우,10087253.0,남자,-,-,-,-,-,-,-,-,-,"하정우, 김주호",하정우,하정우,10087253,남자,배우,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을","하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은,임현성,민무제,강신철",하정우,10087253,남자,배우,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을"
오늘의 연애,20142407,2015-01-14,0,"멜로/로맨스,코미디",15세이상관람가,일반영화,(주)팝콘에프앤엠,씨제이이앤엠(주),47237,709,14924654487.0,1891993,3951958987,480061,오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,박진표,10029363.0,남자,-,-,-,-,-,-,-,-,-,"박진표, 이병헌",박진표,박진표,10029363,남자,감독,오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미,류화영,박지연",이승기,10056227,남자,배우,궁합|오늘의 연애
고양이 장례식,20144601,2015-01-15,0,멜로/로맨스,12세이상관람가,독립/예술영화,영화 고양이 장례식 제작 조합,(주)인디플러그,394,46,23200900.0,2865,17496200,2146,고양이 장례식|심판의날,이종훈,10057421.0,남자,-,-,-,-,-,-,-,-,-,이종훈,이종훈,이종훈,10057421,남자,감독,고양이 장례식|심판의날,"강인,박세영,정겨운,강신유,신무호,김민지,이민희,남기준,민지,김병춘,김도영,차민지",강인,10005001,남자,배우,고양이 장례식|순정만화|앨빈과 슈퍼밴드|꽃미남 연쇄 테러 사건
미라클 여행기,20148631,2015-01-15,1,다큐멘터리,전체관람가,독립/예술영화,"미라클필름,(주)꿈길제작소,허철필름",미라클필름,320,12,20562500.0,3228,13008500,2117,돌아온다|필름시대사랑|미라클 여행기|영화판,허철,20114576.0,남자,-,-,-,-,-,-,-,-,-,허철,허철,허철,20114576,남자,감독,돌아온다|필름시대사랑|미라클 여행기|영화판,"최미라,김영민,김정민",최미라,20188866,여자,배우,미라클 여행기|찌라시: 위험한 소문|신세기 낭만시대
강남 1970,20136888,2015-01-21,0,"액션,드라마",청소년관람불가,일반영화,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,53304,841,17717971499.0,2192172,4859661899,586992,"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다",유하,20111250.0,남자,-,-,-,-,-,-,-,-,-,유하,유하,유하,20111250,남자,감독,"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다","이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우",이민호,20185376,남자,배우,바운티 헌터스: 현상금사냥꾼|강남 1970|강남1970(무삭제판)|울학교 이티|강철중: 공공의 적 1-1
생각보다 맑은,20145202,2015-01-22,2,애니메이션,12세이상관람가,독립/예술영화,Studio Allo,"애니메이션 배급, 씨앗,㈜인디스토리",462,17,27393900.0,3881,22611900,3139,생각보다 맑은|26년|학교 가는 길|코피루왁|[작은영화영화제]인디애니페스트 2018 초대전|콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니유랑단2014 - 성장통|동물과 함께 사는 세상 단편 |인디애니씨앗터 2월,한지원,20180788.0,여자,-,-,-,-,-,-,-,-,-,한지원,한지원,한지원,20180788,여자,감독,생각보다 맑은|26년|학교 가는 길|코피루왁|[작은영화영화제]인디애니페스트 2018 초대전|콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니유랑단2014 - 성장통|동물과 함께 사는 세상 단편 |인디애니씨앗터 2월,"엄상현,양정화,한지원,한지원,이홍수,이홍수,이홍수,이호민,이영기,유아람,서정원,서정원",엄상현,10047326,남자,배우,"극장판 헬로카봇 : 달나라를 구해줘!|프린스 코기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|극장판 뽀잉: 슈퍼 변신의 비밀|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|미니특공대X|뽀로로 극장판 공룡섬 대모험|킹 오브 프리즘 - 프라이드 더 히어로|바다 탐험대 옥토넛 시즌4: 더 파이널|파워배틀 와치카: 와치가면의 역습|트롤|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|눈의 여왕 3: 눈과 불의 마법대결|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 유희왕 더 다크 사이드 오브 디멘션즈|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|최강전사 미니특공대: 영웅의 탄생|바다 탐험대 옥토넛 시즌4: 빙하탐험선S|타이밍|뽀로로 극장판 컴퓨터 왕국 대모험|고녀석 맛나겠다2 : 함께라서 행복해|빌리와 용감한 녀석들 3|최강전사 미니특공대 : 새로운 악당의 습격|생각보다 맑은|헬로 카봇|바다 탐험대 옥토넛 스페셜|꼬마영웅 경찰차 프로디2|피쉬와 칩스 극장판|꼬마마녀 요요와 네네|우주로봇 씨어|쿵후팬더: 영웅의 탄생|부도리의 꿈 |부도리의 꿈(감독판)|레전드 오브 래빗|프렌즈: 몬스터섬의비밀 |마루 밑 아리에티|꼬마영웅 경찰차 프로디|가필드 펫 포스 3D|엘라의 모험 2: 백설공주 길들이기|춤추는 꿈틀이 밴드|제불찰씨 이야기|신암행어사|메밀꽃, 운수 좋은 날, 그리고 봄봄"
내 심장을 쏴라,20148553,2015-01-28,1,드라마,15세이상관람가,일반영화,(주)주피터필름,"(주)리틀빅픽쳐스,(주)이수C&E",20042,452,2856859132.0,387409,602511932,79237,내 심장을 쏴라|아부의 왕|슈퍼맨이었던 사나이|타짜|내 생애 가장 아름다운 일주일|쌍둥이들|시린 귀를 감싸며,문제용,10026804.0,남자,-,-,-,-,-,-,-,-,-,"최정미, 문제용, 유선동",최정미,최정미,20209326,여자,시나리오(각본),"고산자, 대동여지도|따라지 : 비열한 거리|내 심장을 쏴라","이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,정유정,권소영,이규섭,김재화,엄효섭,김보라,장리우,진용욱,곽순우,한태린",이민기,10055447,남자,배우,조선명탐정: 흡혈괴마의 비밀|내 심장을 쏴라|황제를 위하여|몬스터|연애의 온도|오싹한 연애|퀵|10억|해운대|오이시맨|로맨틱 아일랜드|바람피기 좋은 날
어우동: 주인 없는 꽃,20149298,2015-01-29,0,멜로/로맨스,청소년관람불가,일반영화,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,393,18,60141000.0,12203,18432000,3018,로드킬|대가리|독고다이|일진 3|일진 2|메모리즈|일진|미스터 좀비(감독판)|휴가|외도|지렁이|위험한 중독|포장마차|젊은 처제|그리울 련|짓2: 붉은 낙타|어우동: 주인 없는 꽃 무삭제판|어우동: 주인 없는 꽃|연애의 기술|짓|연애의 기술 감독판|전망 좋은 집|전망좋은집:무삭제노출판|미스터좀비,이수성,10056145.0,남자,-,-,-,-,-,-,-,-,-,이창규,이창규,이창규,20110319,남자,감독,어우동: 주인 없는 꽃|하쿠나 마타타 - 지라니 이야기,"백도빈,송은채,여욱환,남경읍,이종민,이탁건,임준혁,장현희,정서경,박종환,정지나,조경민,주창욱,서재호,최충열,송유진,양정민,이건우,이광기,김선웅,김아람,이상헌,이성근,황소라,황정훈,황주호,정태성,이봄",백도빈,10030280,남자,배우,시간위의 집|어떻게 헤어질까|어우동: 주인 없는 꽃 무삭제판|살인캠프|어우동: 주인 없는 꽃|콩나물|나는 왕이로소이다|챔프|타짜
