배우명,작품,년도
문소리,박하사탕,1999
문소리,오아시스,2002
문소리,바람난 가족,2003
문소리,효자동 이발사,2004
문소리,"사랑해, 말순씨",2005
문소리,사과,2005
문소리,가족의 탄생,2006
문소리,여교수의 은밀한 매력,2006
문소리,우리 생에 최고의 순간,2007
문소리,하하하,2010
문소리,하녀,2010
문소리,다른 나라에서,2012
문소리,분노의 윤리학,2013
문소리,스파이,2013
문소리,만신,2013
문소리,자유의 언덕,2014
문소리,필름시대 사랑,2015
문소리,아가씨,2016
문소리,1987,2017
문소리,여배우는 오늘도,2017
문소리,특별시민,2016
문소리,리틀포레스트,2018
문소리,군산,2018
문소리,메기,2019
황정민,쉬리,1999
황정민,와이키키 브라더스,2001
황정민,YMCA 야구단,2002
황정민,로드무비,2002
황정민,바람난 가족,2003
황정민,마지막 늑대,2004
황정민,"여자, 정혜",2005
황정민,천군,2005
황정민,너는 내 운명,2005
황정민,내 생에 가장 아름다운 일주일,2005
황정민,사생결단,2006
황정민,검은 집,2007
황정민,행복,2007
황정민,슈퍼맨이었던 사나이,2008
황정민,그림자 살인,2009
황정민,오감도,2009
황정민,구르믈 버선난 달처럼,2010
황정민,끝과 시작,2013
황정민,부당거래,2010
황정민,모비딕,2011
황정민,댄싱퀸,2012
황정민,신세계,2013
황정민,전설의 주먹,2013
황정민,남자가 사랑할 때,2014
황정민,국제시장,2014
황정민,베테랑,2015
황정민,히말라야,2015
황정민,검사외전,2016
황정민,곡성,2016
황정민,아수라,2016
황정민,군함도,2017
황정민,공작,2018
문소리,관능의 법칙,2014
문소리,배심원들,2018
