영화명,제작비,손익분기,관객수,감독명,감독성별,배급사,제작사,흥행결과,년도
말모이,110,280,286,엄유나,여자,롯데엔터테이먼트,더램프,손익분기돌파,2019
뺑반,124,400,185,한주희,남자,쇼박스,쇼박스,손익분기실패,2019
자전차왕엄복동,150,400,17,김유성,남자,셀트리온엔터테이먼트,셀트리온엔터테이먼트,손익분기실패,2019
우상,100,260,18,이수진,남자,cgv아트하우스,리공동체,손익분기실패,2019
기생충,130,400,721,봉준호,남자,cjenm,cjenm,손익분기돌파,2019
나랏말싸미,130,320,95,조철현,남자,메가박스플러스엠,영화사두둥,손익분기실패,2019
사자,147,360,160,김주환,남자,롯데엔터테이먼트,키이스트,손익분기실패,2019
엑시트,130,340,938,이상근,남자,cjenm,외유내강,손익분기돌파,2019
봉오동전투,190,470,477,원시연,남자,쇼박스,빅스톤픽쳐스,손익분기돌파,2019
광대들,140,350,63,김주호,남자,워너브라더스,심플렉스,손익분기실패,2019
마약왕,160,400,182,우민호,남자,쇼박스,하이브미디어,손익분기실패,2018
스윙키즈,157,400,145,강형철,남자,NEW,안나푸르나필름,손익분기실패,2018
PMC더벙커,165,410,167,김병우,남자,cjenm,퍼펙트스톰,손익분기실패,2018
인랑,230,564,90,김지운,남자,워너,루이스픽처스,손익분기실패,2018
안시성,220,540,543,김광식,남자,NEW,영화사수작,손익분기돌파,2018
신과함께 시리즈,400,490,1227,김용화,남자,롯데엔터테이먼트,리얼라이즈픽처스,손익분기돌파,2018
공작,190,470,497,윤종빈,남자,cjenm,사나이픽처스,손익분기돌파,2018
창궐,167,420,160,김성훈,남자,NEW,리양필름,손익분기실패,2018
염력,130,350,99,연상호,남자,NEW,영화사레드피터,손익분기실패,2018
명당,120,295,209,박희곤,남자,메가박스,주피터필름,손익분기실패,2018
협상,115,285,196,이종석,남자,cjenm,JK필름,손익분기실패,2018
독전,113,280,506,이해영,남자,NEW,용필름,손익분기돌파,2018
조선명탐정3,110,275,244,김석윤,남자,쇼박스,청년필름,손익분기실패,2018
7년의밤,100,250,52,추창민,남자,cjenm,플룩스(주)바른손,손익분기실패,2018
대립군,110,300,83,정윤철,남자,이십세기폭스코리아,폭스인터내셔널프로덕션,손익분기실패,2017
리얼,115,320,44,이사랑,남자,CJ엔터테이먼트,코브픽쳐스,손익분기실패,2017
군함도,267,700,659,류승완,남자,CJ엔터테이먼트,외유내강,손익분기실패,2017
공조,100,300,308,김성훈,남자,CJ엔터테이먼트,JK필름,손익분기돌파,2017
더킹,134,384,531,한재림,남자,NEW,우주필름,손익분기돌파,2017
조작된도시,100,300,201,배종,남자,CJ엔터테이먼트,TPS컴퍼니,손익분기실패,2017
남한산성,150,500,382,황동혁,남자,CJ엔터테이먼트,싸이런픽쳐스,손익분기실패,2017
7년의밤,100,290,52,추창민,남자,CJ엔터테이먼트,폴룩스바른손,손익분기실패,2017
택시운전사,150,450,1209,장훈,남자,쇼박스,더램프,손익분기돌파,2017
강철비,157,400,445,양우석,남자,NEW,와이웍스엔터테이먼트,손익분기돌파,2017
부산행,115,300,1156,연상호,남자,NEW,레드피터,손익분기돌파,2016
밀정,140,420,750,김지운,남자,위너브러더스코리아,영화사그림,손익분기돌파,2016
터널,100,320,711,김성훈,남자,쇼박스,어나더썬데이,손익분기돌파,2016
인천상륙작전,180,470,704,이재한,남자,CJ엔터테이먼트,태원엔터테이먼트,손익분기돌파,2016
곡성,100,300,687,나홍진,남자,이십세기폭스코리아,사이드미러,손익분기돌파,2016
덕혜옹주,110,350,559,허진호,남자,롯데엔터테이먼트,호필름,손익분기돌파,2016
아가씨,150,400,427,박찬욱,남자,CJ엔터테이먼트,모호필름,손익분기돌파,2016
고산자:대동여지도,120,320,0.97,강우석,남자,CJ엔터테이먼트,시네마서비스,손익분기실패,2016
아수라,120,360,529,김성수,남자,CJ엔터테이먼트,사나이픽처스,손익분기돌파,2016
판도라,155,450,458,박정우,남자,NEW,CAC엔터테이먼트,손익분기돌파,2016
마스터,130,370,715,조의석,남자,CJ엔터테이먼트,집,손익분기돌파,2016
허삼관,100,300,0.95,하정우,남자,NEW,두타연,손익분기실패,2015
강남,100,300,219,유하,남자,쇼박스,모베라픽처스,손익분기실패,2015
암살,210,650,1270,최동훈,남자,쇼박스,케이퍼필름,손익분기돌파,2015
협녀,120,450,43,박홍식,남자,롯데엔터테이먼트,티피에스컴퍼니,손익분기실패,2015
서부전선,100,280,61,천성일,남자,롯데엔터테이먼트,하리마오픽처스,손익분기실패,2015
대호,170,460,176,박훈정,남자,NEW,사나이픽처스,손익분기실패,2015
히말라야,120,450,775,이석훈,남자,CJ엔터테이먼트,JK필름,손익분기돌파,2015
오빠생각,100,300,107,박흥식,남자,롯데엔터테이먼트,더램프,손익분기실패,2015
해어화,100,380,48,이한,남자,NEW,조이래빗,손익분기실패,2016
탐정홍길동,100,300,142,조성희,남자,CJ엔터테이먼트,영화사비단길,손익분기실패,
